zone_id,Start_Hour,avg_fare,avg_trip_time_min,demand,income_per_min
2,4,23.342197260273974,12.541086757990868,1825,1.8612579364703705
2,5,23.37207249070632,13.107489157372985,2152,1.7831082833709222
2,6,23.880796645702304,13.37706498951782,2385,1.785204502214435
2,7,20.88700667037243,14.977580137113211,3598,1.3945514882351486
2,8,21.165665457322895,16.590834447202596,5237,1.2757444795606208
2,9,19.43777211443604,14.799191603639153,6082,1.313434722316606
2,10,18.19462267033303,13.491880537732968,6546,1.3485609081289909
2,11,17.41168230243282,13.269640112365506,6289,1.3121442748253203
2,12,16.949421175101804,13.112272154353306,6876,1.2926379940546426
2,13,16.90815085493657,13.590600294171724,7252,1.244106256453408
2,14,16.603867939048794,13.756266995023344,6497,1.2070039019347063
2,15,16.310379346680715,13.265768059946144,5694,1.229508858663622
2,16,16.64399034240562,14.559002780216565,4556,1.1432095036771495
2,17,17.183627275057678,14.021669657352815,3901,1.225505071433969
2,18,17.38165576102418,13.394997629208154,3515,1.297622906862112
2,19,17.83566166439291,13.347964984083672,2932,1.3362083048360134
2,20,17.78000807428341,13.011337639617818,2477,1.366501167423833
2,21,17.507705246295554,13.789427312775329,2497,1.2696470164555271
2,22,16.744500402900886,11.847817620198764,2482,1.4132982916916284
2,23,15.154140625,10.583004712301587,2688,1.4319317657852846
3,0,19.293216911764706,16.120649509803922,1088,1.1968014626229146
3,1,19.991330603889455,15.37401910610713,977,1.3003321035257565
3,2,21.2923474663909,15.463650465356775,967,1.3769289155941644
3,3,26.12798515376458,17.319476846942383,943,1.5085897446363843
3,4,29.013704396632367,18.20271281571562,1069,1.593921998900235
3,5,26.332574762946752,15.461062484804279,1371,1.7031542812033398
3,6,25.92834312573443,14.48195260477869,1702,1.7903900001149506
3,7,23.444142988084327,15.949159792239534,2182,1.4699296573285112
3,8,22.83988482211415,17.2986263970651,3907,1.3203293890426575
3,9,20.21405433430112,15.051230471450298,4822,1.3430167302695848
3,10,18.668222466556717,14.605024128031275,5457,1.278205520436422
3,11,17.960372535917138,14.250796302483572,5986,1.260306593027863
3,12,18.03603314917127,14.835077611154958,6335,1.2157693826697216
3,13,18.11389912844692,14.954703052817068,6999,1.2112510067550117
3,14,18.14581917731293,15.285909495062942,7123,1.1870945057717164
3,15,18.90237838625109,16.149924749975725,6866,1.1704313598290608
3,16,20.53079194095352,17.285780304541525,5013,1.1877272289269711
3,17,20.61469275144219,17.38311177995151,3987,1.185903479906156
3,18,20.446654929577466,15.55669014084507,2840,1.314331952649329
3,19,20.91116579073101,15.547300525561395,2093,1.3450029962661914
3,20,20.046578789694426,14.826393049730378,1669,1.3520873703033913
3,21,20.419746268656716,14.852251243781094,1340,1.3748586617269105
3,22,19.15778846153846,14.25791933760684,1248,1.343659478491204
3,23,19.197746350364962,14.98278588807786,1096,1.2813202093237575
4,0,21.158426573426574,16.126486013986014,572,1.312029573899516
4,1,20.122115384615384,15.021678321678321,572,1.3395384293096224
4,2,23.174088050314463,16.643317610062894,636,1.3923959509312573
4,3,29.31983630952381,18.182043650793652,672,1.6125709998635929
4,4,33.03997557997558,18.295461945461945,819,1.805910978277917
4,5,31.38146694214876,17.66525482093664,968,1.7764514160846316
4,6,28.259320190346703,16.902209381373215,1471,1.67193054781876
4,7,26.710786317192362,19.696549681622983,2251,1.3561149921660498
4,8,23.047143390589994,17.578495560534396,4017,1.3110987405733001
4,9,23.643530374309677,18.019816595077383,4889,1.3120849621060275
4,10,22.493746441449993,17.533051812488136,5269,1.2829338943394064
4,11,21.77692534174553,17.201359971959338,4755,1.2660002102883152
4,12,21.350617664036946,16.995593611699057,5197,1.2562443037788378
4,13,21.039728446638815,16.88709330294974,5266,1.2459058565729435
4,14,20.4675800336984,16.61246138725077,4748,1.2320618574563693
4,15,20.85221302428256,17.202460448859455,3624,1.2121645671718482
4,16,22.39526952315135,18.20047224141903,2894,1.2304773868551702
4,17,23.14638054363376,18.40089810840884,2097,1.2578940662171447
4,18,22.344172359432473,16.862708004904537,1903,1.3250642988619412
4,19,23.7639536199095,17.655967194570135,1768,1.3459445952764229
4,20,23.772948369565217,17.773403532608697,1472,1.3375574535259502
4,21,21.482787979966613,16.199624373956595,1198,1.3261287721277983
4,22,22.823460674157303,17.0600936329588,890,1.3378273979730169
4,23,21.394285714285715,15.986744505494507,728,1.3382515562773074
5,0,17.56142224681793,16.136607636967348,3614,1.0882970350339607
5,1,19.13653516295026,16.0050457404231,3498,1.1956563869491559
5,2,17.78626157732248,12.60889231920666,3563,1.4106125365373552
5,3,20.337084130019118,13.120437646059061,3138,1.5500309272174084
5,4,21.801184696569923,12.7332981530343,3790,1.7121396542006502
5,5,20.185859276132625,12.398907449590821,3951,1.6280353215152665
5,6,19.71473014165322,11.811604207758053,5577,1.6690984386950813
5,7,17.340589245607084,11.80755053507729,7569,1.4686017387003778
5,8,16.803411460315044,12.642719985795095,13141,1.3290978111668021
5,9,15.517261041937681,11.56253174750666,16143,1.3420297025592012
5,10,15.167750522719158,11.544022302684143,19609,1.3139051645103328
5,11,14.766272809566916,11.6128980259501,20989,1.2715407279535484
5,12,14.424857628984636,11.493437755425445,19983,1.255051616055903
5,13,14.07183983755943,11.502102317749605,20192,1.22341459402985
5,14,14.431731958762887,11.970933429233598,20855,1.2055644653005837
5,15,15.24567448680352,13.162995740818323,19096,1.1582222456797453
5,16,15.904207395596982,13.657730831340324,16307,1.1644838803750386
5,17,15.852977266103178,13.324472942776646,13724,1.1897639279381227
5,18,15.632178613744074,12.483701948393891,10128,1.2522069718073696
5,19,15.859157797924057,12.09024219331669,7611,1.3117320186266217
5,20,16.062465558194774,11.818788598574821,6315,1.3590619228210647
5,21,15.299604788143645,11.166961175501932,5263,1.3700777272968319
5,22,14.863623414973077,11.242991141219385,5757,1.322034610565477
5,23,15.987601915794164,12.119414123412788,4489,1.3191728373163394
6,0,14.671255890969302,11.225313123593597,7851,1.3069796565525598
6,1,15.17231551850944,11.20558347634224,8158,1.3539960280106746
6,2,15.133394450556167,10.636415678604896,8181,1.4227908073390667
6,3,15.686401947930323,10.294518324280451,5339,1.5237625942082864
6,4,17.7660774272839,10.578925986617506,4882,1.6793838476380536
6,5,17.508231499051234,10.845879190385832,5270,1.6142749879208635
6,6,17.424182349123946,10.955753839498161,6164,1.5904138231278548
6,7,16.542584435457428,12.101976536597807,9149,1.366932449871366
6,8,16.487239840263097,12.949150418917862,12771,1.2732294634693808
6,9,15.278607423462475,11.947191366386708,14764,1.2788451239216498
6,10,14.634130618146765,11.50795477366751,16598,1.2716534697922663
6,11,14.262343376814256,11.383049584583667,16329,1.25294573047719
6,12,14.205872858838827,11.602484594946011,17689,1.2243819625519554
6,13,13.992332795922614,11.613057346924624,19228,1.2048793334881853
6,14,14.2646047829166,12.040504076555719,18357,1.1847182387231998
6,15,13.915024995371228,11.800665514616634,16203,1.1791729015737027
6,16,14.202706505084272,11.81219761340948,14358,1.2023763037083828
6,17,14.370436254823215,11.97099115415912,12699,1.2004382986976352
6,18,14.09825398199446,11.455729166666668,11552,1.2306727731497777
6,19,14.332632378060353,11.42386759030809,10538,1.2546217176239012
